title,description,images,price
2nd Skin(liq),"2nd Skin(liq) es una hidratante líquida que imita las estrategias que la propia piel usa para auto-hidratarse. De base acuosa, sensorial aterciopelado y absorción instantánea, brinda un alivio inmediato frente a la tirantez, la irritación y la sequedad.  Su fórmula combina 8 activos biomiméticos: <neurosacárido formador de film>, <aminoácido osmoprotector>, <factor de hidratación natural>, <posbiótico revitalizador>, <biosacárido hidratante>, <péptido biomimético protector>, <niacinamida> y <ácido hialurónico.> 2nd Skin(liq) se fusiona instantáneamente con la piel, dejando un film acuoso cohesivo que actúa como una barrera invisible, protegiendo la piel de la deshidratación y el estrés ambiental. Combina un aminoácido que la propia piel usa para arrastrar agua dentro de las células cuando se está por deshidratar, un extracto que aumenta la respiración celular y sacáridos análogos a los que existen en la piel que hidratan de forma prolongada.   Libre de fragancia y alcohol. Apto para todo tipo de piel. Hipoalergénico. Dermatológicamente testeado en pieles sensibles.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/2ndSkin_Tienda.jpg?v=1680379601,1990.00
ULTRA-D PROTECTOR SOLAR FPS 40,"El protector solar ULTRA-D de amplio espectro (FPS 40 - UVB + UVA) y larga duración, es una auténtica defensa para la piel.  Su textura es liviana y de rápida absorción.  Con filtros químicos y físicos. Aporta antioxidantes, humecta e hidrata la piel de forma inmediata y prolongada. Aumenta los niveles de Vitamina D en la piel.  Apto para todo tipo de pieles. Viene en presentación de 30 y 60 ml.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Ultra-D.jpg?v=1672257978,1500.00
COLLAGENE (human),"Collagene(human) representa la nueva era de colágeno en cosmética. Potencia y reprograma la producción de colágeno, aumentando sus reservas para mejorar la estructura, el sostén y la apariencia de la piel.  Su fórmula que combina un <péptido de colágeno tipo I biofuncional de genética humana> con un <péptido potenciador del colágeno VI>, un <aminoácido esencial pro-colágeno> y un postbiotico con efecto tensor inmediato>. A diferencia de otros tipos de colágeno en cosmética, el péptido biofuncional de Collagene(human) tiene la misma secuencia de ADN que el colágeno de la piel. Por eso, al aplicarlo, la piel lo reconoce y aumenta su capacidad de producir colágeno propio. Los activos adicionales ayudan a mejorar la densidad, grosor y cantidad de diferentes tipos de colágeno que disminuyen con la edad. Sin colorantes ni fragancias. Apto para todo tipo de piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Collagene.jpg?v=1670252758,2950.00
KIT PIEL SENSIBLE,"Kit ideal para fortalecer y calmar pieles sensibles. Ayuda a mantener sana la barrera de la piel, balancear la flora cutánea y sumar hidratación. Unifica la textura, suaviza manchas y aporta acción calmante y descongestiva. Permite completar dos pasos en la rutina de skincare combinando las propiedades antiage y preventivas (antioxidante y antiglicación) del Exfoliante MB (30 ml) con los beneficios del Booster RÓSEA-3 (30 ml) y VIT-B3/Zn2+ (15 ml) que tienen acción calmante, descongestiva y evitan la deshidratación de la piel. Además, el uso del exfoliante favorece la absorción de los activos de los Boosters potenciando aún más sus beneficios. Por su parte, el Booster RÓSEA-3 suaviza rojeces, mejora la apariencia de arañitas vasculares y disminuye la sensación de molestia y picor en la piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21230.jpg?v=1666296366,4301.00
KIT LÍNEAS,"Previene y suaviza líneas de expresión.  Efecto filler. Estimula la síntesis de colágeno y repara signos de envejecimiento. Aporta humectación potente. Mejora turgencia, firmeza y elasticidad. Mejora la apariencia de bolsas y ojeras.  Refuerza la barrera cutánea. Contenido neto: Boosters 15 mL",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21211.jpg?v=1666296364,4626.00
KIT HYDRA,"Kit ideal para realizar un cuidado diario de la piel. Brinda hidratación profunda de larga duración y mantiene la barrera cutánea fuerte y sana.  La combinación de nuestro Booster HYALU-A/SI (15 ml) junto a la Hidratante (120 ml), genera una hidratación profunda, suavizando líneas y mejorando la turgencia y elasticidad de la piel.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21330.jpg?v=1666209965,3069.00
KIT GLOW,"Kit ideal para quienes buscan aumentar la luminosidad en la piel.  La combinación de Exfoliante GA + VIT-C/FE permite lograr una mayor luminosidad y efecto glow en la piel, cubriendo dos grandes pasos en la rutina de skincare. El uso de Exfoliante favorece la absorción de los activos del Booster, lo cual potencia sus beneficios.  Este Kit no es indicado para pieles sensibles.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21201.jpg?v=1666296367,2259.00
KIT ACNE PREVENT,"La combinación del Exfoliante SA y el Booster VIT-B3/Zn2+, potencia al máximo una rutina para pieles grasas o con tendencia al acné. Ambos productos disminuyen la producción de sebo y son antimicrobianos. Tienen acción descongestiva, calmante, antioxidante y refuerzan la barrera de la piel, evitando su deshidratación. Además, el Exfoliante SA limpia y desobstruye los poros de forma efectiva y es matificante (controla el brillo); mientras que el Booster VIT-B3/Zn2+ unifica el tono de la piel suavizando manchas.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21242.jpg?v=1666296361,2799.00
KIT ACNÉ + OIL CONTROL,"Es el kit ideal si tenés acné y también buscás acción antiage, ya que balancea pieles grasas, mejora la apariencia de pieles acneicas y previene y mejora signos de envejecimiento.   La combinación del Exfoliante MA (30 ml) y el Booster VIT-B3/Zn2+ (15 ml), permite completar dos grandes pasos en la rutina de skincare. Además, el uso del exfoliante favorece la absorción de los activos del Booster, lo cual potencia sus beneficios.  Este combo balancea pieles grasas, mejora el aspecto de poros dilatados y previene la aparición de puntos negros gracias a que el exfoliante evita la obstrucción de los poros y el booster tiene efecto sebo-regulador. Suma propiedades antimicrobianas, mejora la función barrera y evita su deshidratación, beneficiando aún más a este tipo de pieles.   Previene y repara signos de envejecimiento ya que aumenta los niveles de colágeno de la piel y mejora la elasticidad. Además, es un excelente dúo para suavizar manchas ya que ambos productos logran homogeneizar el tono de la piel por mecanismos distintos y complementarios.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21235.jpg?v=1666296368,2799.00
BOOSTER VIT-B3/Zn2+ PLUS - OIL CONTROL,"Nuestro Booster VIT-B3/Zn2+ PLUS - Oil Control es ideal para pieles grasas y con tendencia acneica gracias a su acción seborreguladora, antimicrobiana y matificante. Equilibra la microbiota de la piel, mejora la función barrera y evita su deshidratación, beneficiando aún más a este tipo de pieles. Además, mejora la apariencia de poros dilatados ya que aumenta la elasticidad de la piel y suaviza manchas.",https://cdn.shopify.com/s/files/1/0113/4821/3818/products/Seg.TheChemistLook30deSeptiembre21404.jpg?v=1670011609,2360.00
